prompt	answer
дүнгээ	дүн <voc>
нэмэлтээ	нэмэлт <voc>
шандсаар	шандас <ins>
луужинд	луужин <dat>
үеэлийн	үеэл <gen>
дүүжингээс	дүүжин <abl>
хавцлаа	хавцал <voc>
амлалтын	амлалт <gen>
тулалдаанаас	тулалдаан <abl>
боловсруулалтаа	боловсруулалт <voc>
хугарлаа	хугарал <voc>
хоногт	хоног <dat>
чавгатай	чавга <com>
солионд	солио <dat>
аэробикийн	аэробик <gen>
найруулагчаа	найруулагч <voc>
зөрлөгтэй	зөрлөг <com>
хатгамлаа	хатгамал <voc>
урлалаар	урлал <ins>
үүсвэрийн	үүсвэр <gen>
зүүдээр	зүүд <ins>
бүртгэлд	бүртгэл <dat>
ачааг	ачаа <acc>
хэвээ	хэвийн <voc>
тусгалаас	тусгал <abl>
хүчирхийллийн	хүчирхийлэл <gen>
төмсгийн	төмсөг <gen>
харууслаа	харуусал <voc>
шийдвэрлэгчийн	шийдвэрлэгч <gen>
наадгайгаар	наадгай <ins>
хүндээр	хүнд <ins>
үргээгчээ	үргээгч <voc>
мөргөлөөс	мөргөл <abl>
анализыг	анализ <acc>
радиустай	радиус <com>
андгайтай	андгай <com>
шавхайн	шавхай <gen>
сувгаар	суваг <ins>
моодны	моод <gen>
дампууралд	дампуурал <dat>
хольцоос	хольц <abl>
тонуулаар	тонуул <ins>
үргээгчээр	үргээгч <ins>
уулчнаас	уулчин <abl>
цочролыг	цочрол <acc>
донсолгооноос	донсолгоо <abl>
уйтгартай	уйтгар <com>
үрлийг	үрэл <acc>
ядаргаатай	ядаргаа <com>
цочролын	цочрол <gen>
илбэтэй	илбэ <com>
салалтад	салалт <dat>
богцтой	богц <com>
шургуулгаа	шургуулга <voc>
хариуцлагаар	хариуцлага <ins>
цоглогийг	цоглог <acc>
байшингаас	байшин <abl>
урсгалтай	урсгал <com>
багсыг	багс <acc>
удирдамжаа	удирдамж <voc>
үйлдэлтэй	үйлдэл <com>
инээдэмтэй	инээдэм <com>
төвлөрлөө	төвлөрөл <voc>
тулалдааныг	тулалдаан <acc>
нисгэгчид	нисгэгч <dat>
зөнг	зөн <acc>
хувьслаар	хувьсал <ins>
цагдаагийн	цагдаа <gen>
оройд	орой <dat>
өмчид	өмч <dat>
цаасаар	цаас <ins>
чангалуураа	чангалуур <voc>
эргэлзлээр	эргэлзэл <ins>
довцогтой	довцог <com>
тариурыг	тариур <acc>
ажилтны	ажилтан <gen>
дэлгэцээр	дэлгэц <ins>
эгнээгээ	эгнээ <voc>
цөхрөлд	цөхрөл <dat>
паалангаа	паалан <voc>
шархлааг	шархлаа <acc>
хариуцагчид	хариуцагч <dat>
элчид	элч <dat>
хоногоо	хоног <voc>
батганд	батга <dat>
урыг	ур <acc>
утаснаас	утас <abl>
анхааралд	анхаарал <dat>
ноёны	ноён <gen>
ёзоорыг	ёзоор <acc>
хиамаа	хиам <voc>
адмиралаар	адмирал <ins>
зээрэнцгээ	зээрэнцэг <voc>
отрядоо	отряд <voc>
чөтгөрөөс	чөтгөр <abl>
цайны	цай <gen>
исэлтээс	исэлт <abl>
үйлчилгээгээр	үйлчилгээ <ins>
гарлаар	гарал <ins>
баярт	баяр <dat>
дээвэртэй	дээвэр <com>
буудлагаас	буудлага <abl>
хааны	хаан <gen>
титмийн	титэм <gen>
цагцгайгаар	цагцгай <ins>
ачлалаа	ачлал <voc>
урагтай	ургийнхан <com>
луугаар	луу <ins>
хөгөөс	хөг <abl>
хүчийг	хүчээр <acc>
агшилтаар	агшилт <ins>
донсолгоотой	донсолгоо <com>
хардалтын	хардалт <gen>
сампингаа	сампин <voc>
орлогод	орлого <dat>
хязгаараас	хязгаар <abl>
архичинд	архичин <dat>
хутгаар	хутга <ins>
символизмоор	символизм <ins>
удиртгалд	удиртгал <dat>
төлбөрийг	төлбөр <acc>
үсчнээр	үсчин <ins>
тасалгааны	тасалгаа <gen>
хөгжмөөс	хөгжим <abl>
хүүрзгэнийг	хүүрзгэнэ <acc>
дэвшлээ	дэвшил <voc>
чоноо	чоно <voc>
хуралтай	хурал <com>
шараас	шар <abl>
үдэшлэгийг	үдэшлэг <acc>
алдартантай	алдартан <com>
голд	гол <dat>
шоргоолжоор	шоргоолж <ins>
үйлдвэрлэгчийн	үйлдвэрлэгч <gen>
зураачийг	зураач <acc>
автомашинтай	автомашин <com>
цамцанд	цамц <dat>
чигийг	чиг <acc>
археологиос	археологи <abl>
зөгнөлөөс	зөгнөл <abl>
эрхшээлийг	эрхшээл <acc>
ойн	ой <gen>
гохны	гох <gen>
няцаалтыг	няцаалт <acc>
номлолоо	номлол <voc>
луувангаар	лууван <ins>
болзлоор	болзол <ins>
хоршлоор	хоршил <ins>
дүрвэгчтэй	дүрвэгч <com>
хувцаснаас	хувцас <abl>
горимын	горим <gen>
хүсэлтэй	хүсэл <com>
солонгыг	солонго <acc>
чимгийг	чимэг <acc>
цуугаар	цуу <ins>
дарамтыг	дарамт <acc>
аргатай	арга <com>
аврагчаас	аврагч <abl>
зүрхээр	зүрх <ins>
цагдаагаар	цагдаа <ins>
дараагаар	дараа <ins>
бугуйд	бугуй <dat>
бүтцээ	бүтэц <voc>
айзмаар	айзам <ins>
нүүдэлд	нүүдэл <dat>
программаас	программ <abl>
өргөргөөс	өргөрөг <abl>
хуулбартай	хуулбар <com>
хилэгнэлээс	хилэгнэл <abl>
бэлтгэлээс	бэлтгэл <abl>
нэгтгэлээ	нэгтгэл <voc>
довоор	дов <ins>
хайчны	хайч <gen>
цайг	цай <acc>
шпагеттинд	шпагетти <dat>
тасгаас	тасаг <abl>
гаргаас	гараг <abl>
янзаа	янз <voc>
бэлгэвчээ	бэлгэвч <voc>
услагчаа	услагч <voc>
нугасанд	нугас <dat>
маргаантай	маргаан <com>
тусгаарлалтыг	тусгаарлалт <acc>
чагттай	чагт <com>
эгнээний	эгнээ <gen>
санхүүтэй	санхүү <com>
ёсолгоонд	ёсолгоо <dat>
цахирмаагаар	цахирмаа <ins>
хатуулгаас	хатуулга <abl>
амууны	амуу <gen>
гуагаар	гуа <ins>
хязгаараар	хязгаар <ins>
онолтой	онол <com>
зээтүүгээр	зээтүү <ins>
завсарлагаа	завсарлага <voc>
дэлгэрэлтээ	дэлгэрэлт <voc>
гэмшилд	гэмшил <dat>
уншлагыг	уншлага <acc>
зугааг	зугаа <acc>
гишүүнээр	гишүүн <ins>
ардчилалтай	ардчилал <com>
боржингоос	боржин <abl>
нотолгоотой	нотолгоо <com>
ормоор	ором <ins>
бачимдлаас	бачимдал <abl>
атаархлаар	атаархал <ins>
шүүгээгээ	шүүгээ <voc>
тойргийг	тойрог <acc>
азотоос	азот <abl>
глюкозын	глюкоз <gen>
шоштой	шош <com>
төсөлтэй	төсөл <com>
эрэмбэтэй	эрэмбэ <com>
үгээ	үг <voc>
зуучлагчид	зуучлагч <dat>
зээтүүтэй	зээтүү <com>
төлөөстэй	төлөөс <com>
цэргийг	цэрэг <acc>
ялгадасны	ялгадас <gen>
боловсруулалтад	боловсруулалт <dat>
бүлгээс	бүлэг <abl>
амтны	амт <gen>
дутагдлаар	дутагдал <ins>
санаанд	санаа <dat>
харьцуулалтаар	харьцуулалт <ins>
уралдаанаа	уралдаан <voc>
бохирдлын	бохирдол <gen>
хатаагуураар	хатаагуур <ins>
элементийн	элемент <gen>
худалдаачнаа	худалдаачин <voc>
амрагаас	амраг <abl>
гуалинд	гуалин <dat>
эхээ	эх <voc>
ухаарлын	ухаарал <gen>
замын	зам <gen>
жагсаалыг	жагсаал <acc>
майонезтай	майонез <com>
бөглөрөлд	бөглөрөл <dat>
язгуурын	язгуур <gen>
хясаанд	хясаа <dat>
үсээ	үс <voc>
духаар	дух <ins>
дутагдлаас	дутагдал <abl>
физиологитой	физиологи <com>
дэнгээс	дэн <abl>
иштэй	иш <com>
далдлалтаар	далдлалт <ins>
үзмээр	үзэм <ins>
автомашинаа	автомашин <voc>
загатнаанаас	загатнаа <abl>
цавуунаас	цавуу <abl>
амьжиргаанд	амьжиргаа <dat>
шүглийн	шүгэл <gen>
мяндсанд	мяндас <dat>
эндэлд	эндэл <dat>
өвөөс	өв <abl>
зөрлөгөөр	зөрлөг <ins>
заналхийллийг	заналхийлэл <acc>
цээртэй	цээр <com>
завхралын	завхрал <gen>
гологдлыг	гологдол <acc>
соёлоос	соёл <abl>
ферментээ	фермент <voc>
алуурчнаа	алуурчин <voc>
ахмадаар	ахмад <ins>
бэхжилтээс	бэхжилт <abl>
сууцаар	сууц <ins>
гэрээнээс	гэрээ <abl>
тээврээс	тээвэр <abl>
цэцгээ	цэцэг <voc>
хараалаа	хараал <voc>
мөчлөгөөс	мөчлөг <abl>
бадмааргаа	бадмаараг <voc>
эрдсээс	эрдэс <abl>
индукцээс	индукц <abl>
таваа	тав <voc>
залгамжлагчаа	залгамжлагч <voc>
архичнаас	архичин <abl>
хэвлэгчид	хэвлэгч <dat>
тэвчээрийн	тэвчээр <gen>
эмэгчнийг	эмэгчин <acc>
нийтлэлээ	нийтлэл <voc>
гялгарын	гялгар <gen>
цуваанаас	цуваа <abl>
консултай	консул <com>
лакаа	лак <voc>
амины	амь <gen>
илбэд	илбэ <dat>
ухуулгатай	ухуулга <com>
тэмдгээс	тэмдэг <abl>
арьснаас	арьс <abl>
өгүүлэгдэхүүний	өгүүлэгдэхүүн <gen>
банзтай	банз <com>
ажиглагчаа	ажиглагч <voc>
ясны	яс <gen>
автобусны	автобус <gen>
үргэлжлэлийн	үргэлжлэл <gen>
эргүүгийн	эргүү <gen>
зураачийн	зураач <gen>
цоожоор	цоож <ins>
сэтгүүлээ	сэтгүүл <voc>
даамжралаар	даамжрал <ins>
уялдааны	уялдаа <gen>
угжнаас	угж <abl>
эзнээр	эзэн <ins>
илбийн	илбэ <gen>
үерийн	үер <gen>
бодистой	бодис <com>
хангамжаас	хангамж <abl>
зохиомжтой	зохиомж <com>
зүтгэлээ	зүтгэл <voc>
товчлолоо	товчлол <voc>
өвчинтэй	өвчин <com>
дүнзээс	дүнз <abl>
довцогт	довцог <dat>
загварыг	загвар <acc>
ажиглагчийг	ажиглагч <acc>
чагтнаас	чагт <abl>
хэрэглэгчийг	хэрэглэгч <acc>
сэтгэлийн	сэтгэл <gen>
урхиа	урхи <voc>
найруулгаар	найруулга <ins>
сорвинд	сорви <dat>
хэцэд	хэц <dat>
цэнгүүнтэй	цэнгүүн <com>
ажиллагааг	ажиллагаа <acc>
онолоор	онол <ins>
хашлаганд	хашлага <dat>
харьцааг	харьцаа <acc>
бичилтээр	бичилт <ins>
амьжиргаанаас	амьжиргаа <abl>
огтлоосыг	огтлоос <acc>
гууны	гуу <gen>
конусын	конус <gen>
нимбэгээр	нимбэг <ins>
агуйн	агуй <gen>
хариултаас	хариулт <abl>
үргээгчээс	үргээгч <abl>
ресторанаа	ресторан <voc>
сорилтод	сорилт <dat>
захидалтай	захидал <com>
хөдөлмөрөө	хөдөлмөр <voc>
тараалтын	тараалт <gen>
заншилд	заншил <dat>
доголдлоо	доголдол <voc>
хамтатгалын	хамтатгал <gen>
адмиралтай	адмирал <com>
ногтыг	ногт <acc>
бадмааргийг	бадмаараг <acc>
фронтын	фронт <gen>
савхитай	савхи <com>
хүслэнг	хүслэн <acc>
шүүгээг	шүүгээ <acc>
шаазангаас	шаазан <abl>
зөгийг	зөгий <acc>
бичээсээр	бичээс <ins>
тунхагтай	тунхаг <com>
эвэрлэгийн	эвэрлэг <gen>
хавтанг	хавтан <acc>
давхаргатай	давхарга <com>
сургамжаа	сургамж <voc>
хөдөлмөрчнөөс	хөдөлмөрчин <abl>
зүслэгээс	зүслэг <abl>
археологиор	археологи <ins>
зуслангаа	зуслан <voc>
томууг	томуу <acc>
хуримтлалаа	хуримтлал <voc>
залбиралд	залбирал <dat>
гомдлоос	гомдол <abl>
урвагчаас	урвагч <abl>
цээрийн	цээр <gen>
болзолд	болзол <dat>
тэргүүлэгчээр	тэргүүлэгчид <ins>
гинжтэй	гинж <com>
хөхөвчид	хөхөвч <dat>
гэрээ	гэр <voc>
шургуулгад	шургуулга <dat>
үржвэрээс	үржвэр <abl>
барианаас	бариа <abl>
зөвлөлийн	зөвлөл <gen>
үсгээс	үсэг <abl>
зодооноор	зодоон <ins>
будгаас	будаг <abl>
бульдозертой	бульдозер <com>
шарилыг	шарил <acc>
хурандааг	хурандаа <acc>
дурсамжтай	дурсамж <com>
шивэгчнээр	шивэгчин <ins>
тэгт	тэг <dat>
хуваагдагчийн	хуваагдагч <gen>
тоглолтоо	тоглолт <voc>
банкаа	банк <voc>
таслалтад	таслалт <dat>
нүүрстөрөгчийн	нүүрстөрөгч <gen>
цогцолбороор	цогцолбор <ins>
зөвшөөрөлд	зөвшөөрөл <dat>
гэмшлийн	гэмшил <gen>
улсаас	улс <abl>
гадилаа	гадил <voc>
жишгийн	жишиг <gen>
суманд	суман <dat>
ялгаруулалтын	ялгаруулалт <gen>
нөхөөснөөс	нөхөөс <abl>
мужааныг	мужаан <acc>
сүлбэлдээнээ	сүлбэлдээн <voc>
ээрүүлээс	ээрүүл <abl>
тасагт	тасаг <dat>
үнийг	үнэ <acc>
манангаас	манан <abl>
гадилыг	гадил <acc>
толгойд	толгой <dat>
ховоогоо	ховоо <voc>
түрээслэгчээр	түрээслэгч <ins>
хамгаалалтай	хамгаалал <com>
алдаанаас	алдаа <abl>
сүрээ	сүр <voc>
үнээ	үнэ <voc>
цэврүүнээс	цэврүү <abl>
олборлолтоос	олборлолт <abl>
тангоны	танго <gen>
багажийг	багаж <acc>
ядаргаанд	ядаргаа <dat>
үндэслэлтэй	үндэслэл <com>
сүргийн	сүрэг <gen>
тулаанаа	тулаан <voc>
зоригт	зориг <dat>
тамхичинтай	тамхичин <com>
үзлэгийг	үзлэг <acc>
компьютерын	компьютер <gen>
хөлслөгчийг	хөлслөгч <acc>
тайтгарлаар	тайтгарал <ins>
наймаанд	наймаа <dat>
эвэрлэгтэй	эвэрлэг <com>
суутгалд	суутгал <dat>
санамжид	санамж <dat>
паспортын	паспорт <gen>
цайзыг	цайз <acc>
бэлчээртэй	бэлчээр <com>
эринд	эрин <dat>
хэрэглээтэй	хэрэглээ <com>
хүндээ	хүнд <voc>
гагнуурчнаар	гагнуурчин <ins>
хавцлын	хавцал <gen>
нийлбэртэй	нийлбэр <com>
хэмжээтэй	хэмжээ <com>
мэтгэлцэгчээр	мэтгэлцэгч <ins>
медалийг	медаль <acc>
имд	им <dat>
нүүдлээ	нүүдэл <voc>
ширээсээр	ширээс <ins>
гоёлоор	гоёл <ins>
уршигтай	уршиг <com>
хочийг	хоч <acc>
бүртгэлээ	бүртгэл <voc>
дохионоос	дохио <abl>
мөнгөнөөс	мөнгө <abl>
адгуусаа	адгуус <voc>
ирмэгтэй	ирмэг <com>
дугтуйтай	дугтуй <com>
удирдлагатай	удирдлага <com>
хараагаар	хараа <ins>
нахианы	нахиа <gen>
бульдозерыг	бульдозер <acc>
дэлгүүрт	дэлгүүр <dat>
нэмэгдэлд	нэмэгдэл <dat>
засвараа	засвар <voc>
гүнгээ	гүн <voc>
эцэстэй	эцэс <com>
кофегоо	кофе <voc>
үеэр	үе <ins>
хураангуйгаар	хураангуй <ins>
амлалтад	амлалт <dat>
дүрмээр	дүрэм <ins>
хийсвэрлэлээр	хийсвэрлэл <ins>
алдартнаар	алдартан <ins>
могойд	могой <dat>
тулааны	тулаан <gen>
түлхүүртэй	түлхүүр <com>
барцдын	барцад <gen>
татварыг	татвар <acc>
томуунд	томуу <dat>
шороотой	шороо <com>
онолоо	онол <voc>
илээчийн	илээч <gen>
онцлогоо	онцлог <voc>
капсулаас	капсул <abl>
хэлэхүйтэй	хэлэхүй <com>
төлгөнд	төлөг <dat>
тосгоноо	тосгон <voc>
шинжлэгчийг	шинжлэгч <acc>
талбайтай	талбай <com>
өргөтгөлтэй	өргөтгөл <com>
байршлын	байршил <gen>
сонгуулийг	сонгууль <acc>
зурагчнаас	зурагчин <abl>
кабелиа	кабель <voc>
зөвлөгөөгөө	зөвлөгөө <voc>
соёлоор	соёл <ins>
цоожинд	цоож <dat>
тэгээ	тэг <voc>
зэмлэлээ	зэмлэл <voc>
түрэмгийллийг	түрэмгийлэл <acc>
шүүлтүүрээ	шүүлтүүр <voc>
хамраа	хамар <voc>
цацрагт	цацраг <dat>
цахирмаатай	цахирмаа <com>
курсийн	курс <gen>
хийсвэрлэлд	хийсвэрлэл <dat>
бүлгийн	бүлэг <gen>
тамирчинтай	тамирчин <com>
даруулаас	даруул <abl>
чихрийн	чихэр <gen>
солирын	солир <gen>
этүүрт	этүүр <dat>
үечлэлээр	үечлэл <ins>
билетэд	билет <dat>
холгодосноос	холгодос <abl>
горьдлогын	горьдлого <gen>
зарчимд	зарчим <dat>
хязгаарлалтаа	хязгаарлалт <voc>
бөгжөө	бөгж <voc>
буудлагатай	буудлага <com>
гунигтай	гуниг <com>
бэлтгэлээр	бэлтгэл <ins>
хальсыг	хальс <acc>
мэхлэгчээ	мэхлэгч <voc>
цэрнээс	цэр <abl>
тэргүүлэгчтэй	тэргүүлэгч <com>
ашиглалттай	ашиглалт <com>
үзүүрээс	үзүүр <abl>
графикт	график <dat>
цавууг	цавуу <acc>
инээдмийг	инээдэм <acc>
шартай	шар <com>
хавчлагыг	хавчлага <acc>
гэмтлээс	гэмтэл <abl>
сорвитой	сорви <com>
онолоос	онол <abl>
шошоор	шош <ins>
хилэгнэлийн	хилэгнэл <gen>
гэрээгээр	гэрээ <ins>
няцаалтаас	няцаалт <abl>
үнэлгээг	үнэлгээ <acc>
капсулын	капсул <gen>
сүүдрээс	сүүдэр <abl>
асуудлаа	асуудал <voc>
хохиролтой	хохирол <com>
гарцыг	гарц <acc>
чагнаалаас	чагнаал <abl>
сүрийн	сүр <gen>
отрядтой	отряд <com>
багтаамжтай	багтаамж <com>
сүмтэй	сүм <com>
консулд	консул <dat>
үйлчлэгчийн	үйлчлэгч <gen>
бодлоор	бодол <ins>
энэрэлтэй	энэрэл <com>
иллэгийн	иллэг <gen>
нийгмээр	нийгэм <ins>
хуйвалдаанаа	хуйвалдаан <voc>
аминаас	амь <abl>
наадгайн	наадгай <gen>
